song,listeners,streams,saves,release_date
"Take",0,706480,0,2022-07-22
"Japan Hotel",0,438367,0,2022-08-31
"Stella",0,355092,0,2022-05-16
"NANA",0,282296,0,2022-10-12
"Mudslide",0,225265,0,2022-04-07
"dust",0,117158,0,2022-08-17
"Fingerboarding",0,70014,0,2021-08-04
"Elephants",0,46854,0,2021-08-04
"Leaving the Suburbs",0,42708,0,2020-09-23
"Ghost Driver",0,40368,0,2021-08-06
"4 strings",0,40137,0,2021-10-29
"Mr Bird",0,23183,0,2022-01-08
"Lavender",0,21332,0,2021-08-04
"Sailing South",0,20866,0,2021-08-04
"Birthday VHS",0,8786,0,2021-08-04
"Messed Up",0,8182,0,2020-10-21
"Beauty",0,7368,0,2021-08-04
"DISCOVERING",0,4978,0,2021-05-14
"ONLY WAIT A MINUTE",0,4785,0,2021-04-03
"Better Place",0,4747,0,2020-11-20
"SURELY",0,4726,0,2021-06-12
"SAGI",0,4387,0,2021-12-05
"Cliffside",0,4177,0,2023-04-21
"THE CUBE",0,3770,0,2021-05-02
"Magic",0,2694,0,2020-10-16
"Complex Numbers",0,2376,0,2024-04-30
"Pekingese Smile",0,1874,0,2024-03-05
"OFFLINE",0,1273,0,2022-01-04
"When I Sleep",0,1245,0,2022-01-31
"Dinner In Paris",0,1135,0,2021-09-09
"Pandas",0,914,0,2023-02-03
"Slay Sin",0,615,0,2024-12-13
"i miss my dog",0,565,0,2023-03-02
"CAMELIA",0,544,0,2022-06-22
"I'm Sorry",0,294,0,2020-10-16
"frappuccino",0,291,0,2022-11-10
"Blue",0,290,0,2021-07-23
"YOU JUST NEED YOUR TIME",0,289,0,2021-04-24
"Desert Rider",0,272,0,2024-08-17
"She Was Different",0,270,0,2022-03-04
"Too Old To Go Wild",0,235,0,2021-03-26
"Fine, I'll Wait",0,232,0,2022-04-22
"My Love",0,232,0,2021-01-16
"You Are Doing Great, Breath",0,228,0,2024-02-07
"New End",0,194,0,2019-06-24
"9 Reasons",0,192,0,2023-01-11
"Options",0,191,0,2022-01-20
"RED FLOOD",0,190,0,2024-12-13
"I Fucked Up",0,187,0,2021-01-29
"Nothing At All",0,185,0,2021-02-16
"Gold",0,182,0,2020-10-03
"Took a Day Off",0,181,0,2019-06-24
"SILLA",0,172,0,2022-12-06
"love wind",0,169,0,2023-08-04
"CORTADO",0,168,0,2022-12-22
"All These Times",0,164,0,2019-06-24
"I NO U",0,161,0,2021-06-05
"I Think I Have Covid 19",0,160,0,2021-03-08
"So Many Times",0,155,0,2019-06-24
"Now What?",0,153,0,2022-02-07
"Shady Fans",0,148,0,2021-10-10
"Honey",0,147,0,2020-10-04
"It's A Vinyl",0,140,0,2020-12-03
"When She Smiles",0,139,0,2024-12-25
"GOODBYELUV",0,139,0,2023-10-11
"Hypocrisy",0,131,0,2021-12-26
"Shutting Down",0,131,0,2021-05-29
"pink",0,129,0,2023-08-24
"alluvium",0,128,0,2022-09-21
"Dive In",0,126,0,2021-01-08
"Passion Week",0,124,0,2019-06-24
"LEE",0,120,0,2023-06-29
"Debugger",0,119,0,2020-12-19
"CAL",0,118,0,2023-05-21
"Nobody loves me like you do",0,115,0,2023-03-30
"And Some Freckles",0,114,0,2021-01-10
"Will We Make It?",0,114,0,2021-03-07
"sage",0,107,0,2023-02-17
"GAME OF LOVE",0,105,0,2023-10-11
"Chasing Clouds",0,105,0,2021-01-22
"What's your name, darling?",0,104,0,2023-03-17
"Seduce Me",0,101,0,2020-08-04
"SIVLE",0,99,0,2024-12-13
"A Matter Of Time",0,98,0,2020-12-11
"Cold N Dry",0,95,0,2020-04-05
"DE PEN",0,94,0,2021-05-02
"Five Years Ago",0,93,0,2020-07-20
"CORTISOL",0,92,0,2023-06-09
"doing my homework",0,91,0,2024-02-21
"WILLPOWER.",0,89,0,2023-04-14
"Whendays",0,88,0,2021-07-23
"On And Off",0,86,0,2020-10-30
"you shouldn’t go to bed before i text you back",0,85,0,2024-07-28
"who am i?",0,85,0,2023-09-06
"I Can't Feel The Love",0,83,0,2020-11-05
"FISHES",0,82,0,2021-03-19
"Hang in There Pal",0,78,0,2020-02-05
"Entangled",0,78,0,2023-11-30
"The Lonley Road",0,76,0,2025-01-31
"Reaper",0,76,0,2020-12-26
"I'm About To Lose My Baby",0,74,0,2021-02-12
"Connections",0,71,0,2020-10-08
"Moody Hoody",0,70,0,2020-02-05
"THE DRIVE",0,65,0,2021-05-02
"LOYODEA",0,65,0,2023-10-11
"IPA AT 21",0,63,0,2023-10-11
"So Fake",0,52,0,2020-11-13
"AOMM",0,50,0,2024-11-15
"Delete Forever",0,49,0,2025-01-31
"Looking For The Wave",0,49,0,2025-01-31
"Sunrise in Sorrento",0,47,0,2024-01-23
"Mini Happy Bird",0,40,0,2025-01-31
"Say My Name Cindy",0,35,0,2021-02-06
"while stop",0,34,0,2024-05-29
"לא חוזר",0,34,0,2024-06-22
"Cancel",0,32,0,2025-01-31
"Tolerance",0,30,0,2024-12-25
"IAISDWMD",0,30,0,2025-05-23
"INVALID INPUT",0,27,0,2024-06-14
"In The Laboratory",0,25,0,2024-12-25
"Dina",0,24,0,2024-12-25
"Little River Town",0,23,0,2024-12-25
"Online",0,22,0,2024-12-25
"It's Almost 1 Am",0,21,0,2024-12-25
"Rain Coat",0,20,0,2024-12-25
"Raindrops",0,19,0,2024-12-25
"Anti Chafe",0,18,0,2025-05-23
"Metal Revans",0,12,0,2025-05-23
