title,author,listeners,streams,date_added
"productive work lofi 🍉 focus & study music","-",22626,42175,2024-04-25
"Energetic Upbeat lofi 🍉 Jazzhop Beats & Chillhop Music","-",13905,40691,2024-04-25
"productive study lofi ☁️🔥📚","-",9699,15653,2024-07-04
" ADHD Hyperfocus Concentration","-",7534,12512,2023-02-06
"Radio","Spotify",6719,10849,n/a
" ADHD Lofi Study Beats","-",3850,6060,2022-07-19
"Mixes","Spotify",1329,2793,n/a
"Chill Vibes","-",359,2748,2023-04-29
"3-HOUR STUDY WITH ME🏡 / calm lofi / A Rainy Evening in Tokyo","-",710,2673,2022-09-30
"Smart Shuffle","Spotify",1983,2663,n/a
"Study lofi for Deep Learning 📚","-",940,1830,2024-01-07
"studying economics","-",831,1548,2022-08-22
"Daylist","Spotify",1005,1178,n/a
"Study with me (by abao in Tokyo)","-",208,893,2022-09-15
"Upbeat Background Instrumentals 2025🌞 Uptempo Feel Good Beats","-",331,870,2024-08-02
"Discover Weekly","Spotify",340,870,n/a
"Jazzhop Lofi | Chill Jazz Hop","-",341,733,2022-04-06
"Fingerboard Vibe's ","-",418,669,2024-04-23
"Lofi Chill Beats 2024 🎧 Lofi Bangers","-",263,631,2022-12-31
"阿鮑-实时学习背景音","-",149,495,2022-07-28
"happy upbeat lofi ☁️ Feel Good Instrumentals","-",175,455,2024-06-21
"getting it done  💻 ","-",275,419,2023-04-13
"Upbeat lofi 2025 🌞 ","-",129,403,2024-08-02
"Fingerboard music.","-",221,359,2023-11-15
"Fast Lofi instrumentals & Energetic Jazz Hip Hop Beats","-",131,355,2024-06-21
"Rainy days in Japan","-",88,322,2021-11-24
"Beats to study/Relax - Lo-fi ","-",3,307,2021-09-20
"Alchemist | #2.1 Chill","-",18,292,2024-07-18
"Workinton - AFC , BAF, BAG","-",5,287,2024-08-15
"Your DJ","Spotify",216,267,n/a
"Chill Beats To Stream To 🖥","-",84,261,2023-02-03
"Lofi Dre ","-",71,210,2022-07-20
"Tokyo cafe Jazzhop 🍸 Jazz Cocktail Bar Vibes","-",48,194,2024-04-14
"alone with my thoughts. 🧺 calm lofi mix","-",33,193,2022-07-10
"Happy Lofi Instrumentals 🌞","-",53,188,2023-03-23
"LOFI | Study with me","-",57,173,2022-11-06
"twitch safe lofi | music for twitch streamers","-",92,158,2022-07-24
"non copyrighted lofi music - lofi no copyright for streamers","-",61,148,2023-01-16
"Hidden gems that you should know ","-",75,113,2022-01-23
"Happy Instrumentals 2025","-",29,113,2025-03-14
"Nature Lofi 🍃 beats with soft nature sounds","-",41,102,2024-07-04
"A8 Lofi","-",6,94,2023-04-20
"its lofee.","-",3,81,2025-01-23
"On Repeat","Spotify",17,81,n/a
"Mellow Days Lofi","-",44,74,2022-03-15
"music for slow living","-",36,73,2023-02-03
"Office Chill Beats 🍉 Everyday Work Playlist","-",32,73,2024-06-21
"CHILLGHOSTRECORDS","-",29,70,2023-07-12
"NEO night (5:00pm-close)","-",5,68,2023-11-15
"Chillhop Beats Radio 🎧 Relaxing Versions of Jazzy Beats","-",27,65,2024-01-02
"TDAH / ADHD LoFi - Focus & Flow State","-",44,63,2023-08-01
"☔️ 💋 ביט*ם של ח!רף 🌲 🖤 ","-",24,59,2025-02-17
"Midna's Lofi","-",22,59,2022-11-14
"LOFI GAMING 2025 🎮 Chill Video Game Beats","-",21,56,2023-12-21
"lofi Bossa Nova Jazz Beats","-",10,52,2024-04-14
"Chillest jazz music - real chill jazz beats🎷","-",13,48,2023-03-23
"Streaming Lofi  music for Youtube Streamers","-",26,47,2022-07-24
"Energetic Upbeat lofi","-",5,46,2024-11-05
"Positive Lofi","-",32,45,2024-02-22
"ADHD Focus Music lofi 🐈‍⬛","-",14,43,2023-03-22
"Your Top Songs 2025","Spotify",25,42,n/a
"Wellshare waiting area music","-",4,41,2023-06-29
"Fingerboard music.","-",31,41,2022-11-22
"Thats alot of Lofi","-",3,39,2022-10-25
"Loffi Chill Jazz","-",4,39,2024-05-30
"Upbeat lofi 🌴 Energetic chill beats","-",16,39,2023-07-19
"lofi for streamers","-",13,38,2022-07-24
"Chillout Lounge","-",4,37,2024-03-11
"Latenight Sensual Seduction  👄","-",12,37,2020-11-15
"brain…fm","-",22,37,2024-04-19
"Open House Lofi Beats","-",28,35,2024-01-06
"Your Top Songs 2024","Spotify",15,34,n/a
"Upbeat Lofi 🌊 Pool & Beach Day Vibes","-",10,33,2024-06-21
"chill taipei cafe vibes","-",23,31,2021-10-15
"Release Radar","Spotify",14,31,n/a
"LoFi Concentration | Focus & Work","-",6,30,2023-06-28
"ENERGETIC LOFI 2025 🍉 JAZZHOP 🎶 CHILLHOP BEATS","-",24,28,2025-10-29
"Focus | Study Music by FLOWN Radio: LoFi","-",16,27,2022-08-22
"Fast Upbeat Lofi hiphop 🌴 Tropical Island Vibes","-",12,23,2024-06-21
"Your Top Songs 2023","Spotify",4,23,n/a
"Chillhop Mix • No Lyrics","-",3,22,2023-02-25
"Goodnight","-",3,22,2023-09-12
"Study Lofi 2022","-",11,21,2024-01-02
"lofi Reading Playlist 📚","-",10,21,2023-03-23
"lo-fi Summer lo-fi 🌴","-",10,19,2024-06-21
"lowfi study beats 📖 relaxing music to study to","-",8,19,2023-08-04
"Upbeat LoFi Music","-",11,18,2024-04-02
"Spring lofi 2025🌸lofi spring walks in springtime","-",9,17,2023-03-22
"Drive Thru Traffic","-",3,16,2022-11-17
"Abao in tokyo","-",3,15,2025-04-04
"Coastal Chill Records Releases","-",6,14,2022-04-06
"Energetic Upbeat Lofi 🍉 Jazz Hop & Chill ","-",5,14,2025-01-25
"Finger vibes","-",3,14,2025-03-27
"[Chill] Twitch Friendly Music","-",6,14,2022-07-25
"Japan Hotel","-",4,13,2023-07-24
"🌤 dreamy lofi // chillhop 🌤","-",9,13,2022-12-23
"Instrumental Beats for Work and Chill","-",9,13,2024-12-17
"Morning Coffee Beats","-",10,13,2023-05-12
"MOVEMENT WALK-IN/OUT","-",3,13,2023-08-29
